Age,Plot ID,AGB,Palm,HV,CR,FR,FL,CWD,SC15,SC30
19,26,141.3,0.1,0.6,29.7,3,5.9,4.5,73.6,33.9
19,25,100.7,0.4,0.7,22,4.1,5.6,3,46.9,9.7
18,22,75,0,0.8,16.8,3.8,5.2,1.5,NA,NA
27,30,215.4,0.2,0.6,39.5,9.2,6.1,6.4,0.8,65.6
7,8,70.5,0.6,0.8,14.2,9.5,5.1,1.2,9.1,6.3
36,33,400.5,0.4,0.5,58.4,4.2,6.3,9.4,37.8,22
17,20,202,0,0.6,34.1,2.8,5.8,4,35.1,71.2
30,32,188.8,0,0.7,30.2,2.7,5.6,3,46.5,5.6
14,14,127.2,0.2,0.7,25,7.3,5.6,3,54.9,39.1
29,31,178.7,0,0.6,33.7,11.2,5.8,4.4,40.8,17.7
10,12,79,0,0.8,17.1,5.9,5.2,1.5,NA,NA
21,27,76.2,0,0.8,16.2,7.7,5.1,1.2,42.6,3.5
18,21,61.3,0.1,0.7,15.4,14.2,5.3,1.6,27.7,22
7,9,47.8,0,0.8,12.4,3.3,5.1,1.1,60.1,46.9
15,16,49.6,0,0.8,12.2,6.3,5,1,75.4,1.2
19,23,133.5,1.2,0.6,29.8,7.1,5.9,4.5,NA,NA
19,24,100.9,0.2,0.7,22.5,10.1,5.5,2.6,NA,NA
15,17,111,0.5,0.7,25.1,12,5.7,3.2,NA,NA
24,28,96.7,0,0.7,21.3,8.6,5.5,2.3,NA,NA
9,10,50.2,0,0.8,12.8,8.7,5.1,1.2,NA,NA
27,29,104.9,0,0.7,23.8,7.9,5.6,3,NA,NA
15,19,83.6,0,0.7,19.3,3.2,5.4,2.1,NA,NA
15,18,78.8,0.2,0.7,18.5,10.1,5.4,1.9,NA,NA
13,13,50.3,0,0.8,13.1,8.5,5.2,1.3,NA,NA
9,11,56.9,0,0.8,13.8,8.4,5.1,1.2,NA,NA
14,15,70.1,0,0.7,17.7,4.4,5.4,2.1,NA,NA
3,1,17.1,0,0,5.1,0,0,0,40,43.6
4,2,21.5,0,0,5.5,0,0,0,11.7,90.9
4,3,32.4,0,0,8.1,0,0,0,55.6,5.4
4,4,31.9,0,0,8.3,0,0,0,15.4,36.6
5,5,31.7,0,0,7.8,0,0,0,8.6,5.5
5,6,34.8,0,0,8,0,0,0,12.8,40.5
5,7,33.7,0,0,8.2,0,0,0,NA,NA
