datetime,Unnamed: 0,year,DOY,time,Ta,HR,VPD,R,meanWS,P,maxWS
2024-04-01 00:00:00,221328,2024,92,0,3.71,82.0,,,,0.0,
2024-04-01 01:00:00,221329,2024,92,100,3.26,81.0,,,,0.0,
2024-04-01 02:00:00,221330,2024,92,200,3.06,80.0,,,,0.0,
2024-04-01 03:00:00,221331,2024,92,300,3.25,78.0,,,,0.0,
2024-04-01 04:00:00,221332,2024,92,400,3.19,80.0,,,,0.0,
2024-04-01 05:00:00,221333,2024,92,500,3.18,83.0,,,,0.0,
2024-04-01 06:00:00,221334,2024,92,600,3.02,79.0,,,,0.0,
2024-04-01 07:00:00,221335,2024,92,700,2.93,74.0,,,,0.0,
2024-04-01 08:00:00,221336,2024,92,800,3.68,70.0,,,,0.0,
2024-04-01 09:00:00,221337,2024,92,900,6.76,63.0,,,,0.0,
2024-04-01 10:00:00,221338,2024,92,1000,7.86,60.0,,,,0.0,
2024-04-01 11:00:00,221339,2024,92,1100,9.62,53.0,,,,0.0,
2024-04-01 12:00:00,221340,2024,92,1200,11.69,55.0,,,,0.0,
2024-04-01 13:00:00,221341,2024,92,1300,10.73,48.0,,,,0.0,
2024-04-01 14:00:00,221342,2024,92,1400,11.05,47.0,,,,0.0,
2024-04-01 15:00:00,221343,2024,92,1500,10.35,49.0,,,,0.0,
2024-04-01 16:00:00,221344,2024,92,1600,11.78,50.0,,,,0.0,
2024-04-01 17:00:00,221345,2024,92,1700,11.31,65.0,,,,0.0,
2024-04-01 18:00:00,221346,2024,92,1800,10.45,78.0,,,,0.0,
2024-04-01 19:00:00,221347,2024,92,1900,7.27,98.0,,,,0.0,
2024-04-01 20:00:00,221348,2024,92,2000,6.31,97.0,,,,0.0,
2024-04-01 21:00:00,221349,2024,92,2100,4.66,100.0,,,,0.0,
2024-04-01 22:00:00,221350,2024,92,2200,5.05,92.0,,,,0.0,
2024-04-01 23:00:00,221351,2024,92,2300,5.66,79.0,,,,0.0,
2024-04-02 00:00:00,221352,2024,93,0,5.57,80.0,,,,0.0,
